group,No,"Yes, off campus","Yes, on and off campus","Yes, on campus"
Abbot,82,37,21,1
Flagstaff,80,47,14,0
Pine Knoll,86,44,14,0
West Quad North,71,38,27,1
West Quad South,92,38,11,0
