group,No,Yes
"$1,000,000 or more",63,66
"$100,000 to $149,999",23,14
"$150,000 to $249,999",40,37
"$250,000 to $499,999",66,64
"$34,999 or less",11,6
"$35,000 to $59,999",6,7
"$500,000 to $999,999",46,47
"$60,000 to $99,999",23,16
Unsure,108,80
