group,No,Yes
2.0 or below,1,4
2.2,0,1
3.2,0,1
3.4,2,0
3.8,1,3
4.0,1,4
4.2,2,4
4.4,3,5
4.6,7,18
4.8,17,37
5.0,14,62
5.2,14,71
5.4,12,100
5.6,16,104
5.8,17,116
6.0,8,64
