group,1 hour,2 hours,3 hours,30 minutes or less,4 hours,5+ hours,"Not applicable, I do not use social media"
Always,2,5,3,1,4,3,0
Never,9,20,9,3,3,3,1
Rarely,54,78,48,18,15,11,5
Regularly,22,47,27,15,11,10,3
Sometimes,55,95,88,21,39,19,7
