group,1 hour,2 hours,3 hours,30 minutes or less,4 hours,5+ hours,"Not applicable, I do not use social media"
2.0 or below,0,1,0,0,0,4,0
2.2,0,0,0,1,0,0,0
3.2,0,1,0,0,0,0,0
3.4,0,0,1,0,1,0,0
3.8,0,3,0,0,0,0,0
4.0,0,3,2,0,2,0,0
4.2,1,2,2,1,1,1,0
4.4,2,2,2,0,1,1,0
4.6,4,7,5,0,3,5,1
4.8,5,14,14,1,6,10,0
5.0,7,18,21,7,14,6,0
5.2,15,24,21,5,8,7,0
5.4,15,42,27,9,10,3,2
5.6,20,39,33,10,8,4,4
5.8,35,46,18,13,8,2,6
6.0,25,17,12,7,5,2,2
